,CaseOrder,Customer_id,Interaction,UID,Children,Age,Income,Gender,Churn,Outage_sec_perweek,Yearly_equip_failure,MonthlyCharge,Bandwidth_GB_Year,gender_dummy,churn_dummy,Intercept
10,11,J980369,89490f4b-765f-431a-b302-580aae7db71a,6271cceddef89e353881b8c38b5674b1,7,23,22580.7,Female,No,9.341631685,2,174.958118,2728.767869,1,0,1
11,12,E243720,c32b8522-d62a-49b1-a77a-e0534cb1378b,073356b840a6f10f65bebf6c9c168b3a,2,56,18342.12,Female,No,6.68082638,1,149.962093,1180.588788,1,0,1
12,13,F139569,4828f66e-5592-4c61-bbf4-313cf8731f1c,fe004e8605f165c2c59064fca86389d5,0,83,83671.08,Male,No,8.273875452,0,137.439154,1196.388018,0,0,1
13,14,X44200,780992d3-d758-4152-aceb-5d59edda3d15,2a93472e2def0e9ea2ead2f8c15c80c9,5,29,115114.57,Female,No,5.880565591,0,184.971516,1948.694497,1,0,1
14,15,H68068,8dc7ad15-2f59-4c77-9640-6f2c0000b3fc,82e2317aca04b63397b31395029f50bf,1,30,64256.81,Male,Yes,11.79073041,0,159.965581,1582.295235,0,1,1
15,16,A403906,df437bd4-bd8a-4c8f-8110-11ed1a7723ea,d43e8bc69c074903d9c618596562747e,3,39,89061.45,Male,Yes,10.79846973,0,177.65076,1840.014467,0,1,1
16,17,V847470,bbf5ca9f-cb89-44ea-ac42-3f5862ebdbd0,c2b766b12c3780537d74b858ae602a93,0,63,31659.3,Female,Yes,13.52284721,0,194.966286,2070.376729,1,1,1
17,18,F721878,5c3548de-4744-4167-9412-3f018262bab2,66c10f561f108fd744c68c6c5b388c53,2,60,44142.81,Male,Yes,9.831166695,0,202.682861,882.0985933,0,1,1
18,19,F487435,200fad69-1e40-4de6-9222-df84d8925000,90c4427b652ec11afec04bd3c73c88d2,3,61,39262.14,Female,No,9.57470568,0,152.490739,1833.0967,1,0,1
19,20,B561228,5ff2d3a8-6e9f-4bfa-af2b-04e5cdc0a1e0,34cb26f446dde7d77a6ecc5d7e106942,3,23,19494.75,Male,Yes,10.92246098,0,149.944668,1954.080809,0,1,1
20,21,X325271,ebf7fbd7-9f65-48d8-8f82-b7b7fd4f3412,21877fa7a1ff6e02e419246b1211b228,4,38,39624.21,Male,No,12.06889188,3,184.978458,2330.319383,0,0,1
21,22,I282896,69fbc82f-1ea2-47a2-a056-d6f8d428b687,994c0d689a45958a51dde0312f52258b,3,30,45714.47,Male,No,6.984819996,0,127.495766,594.1054279,0,0,1
22,23,I367206,1937a759-91b7-4390-80f1-6f8e7d81e058,3bc3a28af4d353a18ab1173dabdc6496,3,52,27442.03,Male,No,9.372975594,1,124.964303,713.0633088,0,0,1
23,24,N37182,ab3bfaf3-94f1-4a14-b577-0e57178a7645,adab17955634cf8ec0cd47d8d89c352c,2,68,79699.62,Male,No,7.109002592,0,149.948316,945.3802928,0,0,1
24,25,U644626,30a2f575-54cc-4894-96b8-358317896f43,c741e189e7837dca1ae8e031402b447d,3,75,28520.32,Female,Yes,13.74777955,0,162.511928,870.76398,1,1,1
25,26,A766555,44c6b2bd-74ee-4c80-9b9f-67b544d1e06a,6cab409a353f4b1e618308bb6383f4ae,1,77,12558.83,Male,Yes,9.767668044,0,92.455141,774.2937069,0,1,1
26,27,V54032,eba9d80f-e4e6-4905-81ab-5f5f2a49cc88,f7184e21cba24f672130af4181ace3fc,1,47,8762.23,Female,Yes,15.8626095,1,222.649979,1506.446527,1,1,1
27,28,Z301326,f4ba5aef-80af-43fe-a8cb-0592f3013d6b,8f35529b5d78c0c900635ceebf6b84cb,0,70,43882.72,Female,Yes,14.73616645,0,139.981577,419.0508708,1,1,1
28,29,J887250,a49a3cbf-182c-49f5-b15f-e124582d2c8f,1e083de4b0dfeed53263515c8b8b26eb,3,20,10482.52,Female,Yes,13.43558029,0,200.132293,1259.415493,1,1,1
29,30,Z686376,cddc4b08-7aae-4194-a75c-28bbcc8257f3,82bbe8f8a091353aad86806f5fabc658,4,69,33442.79,Male,Yes,10.61771118,0,257.651257,1745.125956,0,1,1
30,31,L357432,79b827eb-46b9-4737-8484-0b670171bc4b,2024dab5fff54350716edea719cb3a9b,9,45,43383.54,Male,No,6.613070806,0,230.105118,1795.465729,0,0,1
31,32,V899967,5cffec4f-2316-4f97-b0d6-106888164492,e82cf64d7a0e5a2f0ef56b6dc68b08bb,0,40,21793.88,Female,No,4.450171647,0,147.489301,492.4771472,1,0,1
32,33,G571225,c7c6fcb5-eb79-438e-bf66-179ac491274e,f1641e36607077033891129802343682,6,82,51960.51,Female,Yes,8.774646693,0,230.105118,1013.993166,1,1,1
33,34,S381541,a81aaffc-186f-46d1-8378-ad11bcedde9c,5377bc298c0d723478837a5d98bc738b,5,74,25942.1,Male,Yes,11.13156721,1,174.958118,2680.762173,0,1,1
34,35,R195593,fd1b0111-3d91-460d-b26b-d52008c383f8,6db59b17dc83e5b8af6d312100ea2965,4,69,11211.59,Male,Yes,5.540788887,0,267.664655,1081.814362,0,1,1
35,36,I327596,c329889a-43ac-4d20-98f3-50d1c4c527fb,d8fc79b5e3193a0dd891a4b6afac838d,1,52,8283.29,Male,Yes,13.80362698,1,162.483267,1209.961168,0,1,1
36,37,U790894,01fa4db5-6be5-47de-a3ac-53b95e5c44a8,f57314d251b601e0b1f18a432612c3ff,2,26,10114.81,Female,Yes,16.31017089,1,229.993134,897.5919144,1,1,1
37,38,O739489,1659c53c-7045-445c-a222-08c53851aac1,cdcabd9f398e96aa39936f87adde7dc0,1,25,36229.21,Female,No,9.447065309,0,140.00128,1340.930156,1,0,1
38,39,I958127,9d8f0590-1da6-4b6f-ab72-ef78c8aaac24,7d59e47c0a72bb47918543996d0990ba,1,66,25397.44,Female,No,16.84100845,0,184.964681,1113.993679,1,0,1
39,40,Z666770,e8e28d51-c371-4a39-a81c-0c08d2f1f6ba,7e5b41b7d2ad340e17143f4066c3ab33,1,72,50336.5,Male,No,7.972937227,1,147.473844,1530.10769,0,0,1
40,41,X711438,3c086e5c-e913-43b6-90d0-30b15b7cd37f,bc2290835aee9167c09294399ef208c9,3,21,38211.37,Female,No,11.42906608,0,172.457857,1310.137419,1,0,1
41,42,U369541,282e3c6b-40f1-4460-8afa-7f2a1e88f06c,72d20b3d5284a2af94ec2f39fba29c39,3,55,52887.26,Male,No,8.06137096,0,107.481989,892.8964931,0,0,1
42,43,S896111,e677e4d4-13aa-4fde-a48e-e34b94f422cd,f8f47993d1fa402f133393f681022a3d,4,41,12003.33,Male,Yes,12.54780492,2,255.141716,1125.581944,0,1,1
43,44,K227200,d542a248-4059-4008-a6fb-b7bc6e897a1c,cbbc7e4acd904ad82aff342295cad7a0,4,32,24090.62,Male,No,8.255565152,0,192.456745,2016.710031,0,0,1
44,45,E818912,7ac233f7-4a78-4b44-95cf-37cc5c87cc41,d5dce7dccb69ce4e7a244f4b9e2ec508,0,22,15137.93,Female,Yes,13.156514,0,242.632554,1412.736809,1,1,1
45,46,Y490834,79eb6124-9f8f-4329-90d1-903bd8bbb43d,2cf02d65e777660bee29aabf8338d7a0,2,44,54458.38,Female,Yes,10.58349704,0,245.174977,1710.689671,1,1,1
46,47,B609739,bb4a7c2d-6524-41d6-b2ed-f7511509ff5b,e0f8186edebc6ed9650b5dce5496960d,2,23,132116.33,Male,Yes,12.50184778,0,184.964681,2384.885909,0,1,1
47,48,E687638,a7cae1b4-3c31-4037-8755-ac692dba6d4c,96b1ca7a9b1642d44b22ac0e05fc47ec,3,43,37358.13,Female,Yes,9.750038902,0,195.006206,1213.940165,1,1,1
48,49,E492264,1df1db19-9bfc-407a-a72c-203fada5b5d3,0792f3196f67e1c2e518931ecba4ce51,1,86,26534.16,Female,No,7.868660851,2,104.962874,740.010722,1,0,1
49,50,W255321,7abea12e-f7b4-4e5a-be09-6f9fb061f923,3d5a7f23e552c62a0921e1fa051e015f,2,84,76430.83,Female,No,12.43563329,1,92.488023,897.9716153,1,0,1
50,51,S72442,6711579b-29d7-460e-bc34-10d4d1110a06,eba011bb46de58c6e2cea23d0097d290,2,62,4662.37,Female,Yes,8.957166926,0,184.979684,1026.387172,1,1,1
51,52,O845020,91dc4423-1f3b-4ff3-bb12-6da4c1deabe8,1b7ff908a8870766a8b463e23757aec4,5,68,43820.85,Female,Yes,8.015021713,0,187.656013,1234.244324,1,1,1
52,53,D805597,e0ad6b64-9210-4998-aa82-05b6bc33873f,4cc1941f0eddeb8b3d2d94de19b2769c,1,59,38391.55,Female,No,4.210347704,0,149.962093,727.3731845,1,0,1
53,54,R189303,ccb06917-57e1-4595-94f7-4a54b1f0ec9d,7b4e1744bba082cf026b16878ed94b79,0,31,44137.6,Female,Yes,11.13960534,0,169.944668,452.8721504,1,1,1
54,55,N142854,d207e3a8-6ae6-4567-9b5a-7ae8d8530d0c,d2b5848d8ef49e1b6b68415e597d46e7,0,51,14364.65,Male,Yes,9.03738856,0,160.00128,1296.674543,0,1,1
55,56,F522569,01051fb5-00df-4a7e-a284-b152a0b5ea47,3fc7c0a5a88aa3796474660502fbb05f,1,58,62359.91,Female,No,10.91594785,1,129.962093,1840.628269,1,0,1
56,57,L384793,79c4473e-fd88-46bc-a276-e21783d598eb,019a544457407fa24e77f7dfa224f2f7,1,73,82634.86,Male,Yes,8.387624096,1,114.950905,1324.330108,0,1,1
57,58,C101444,5ed9b266-29a0-489e-88e0-59f9a0b39e49,8518b3cdfe3bf58e2b262a154d64df01,1,33,15690.25,Female,No,11.4487514,1,142.515576,958.1397059,1,0,1
58,59,E987442,626e918e-7e34-4b0a-a92c-bd60db4b6173,0091e1705b9d932e9ff7aaacac8738f6,1,58,14568.7,Male,Yes,10.22013704,0,220.14775,1868.864027,0,1,1
59,60,L54611,f16fa219-d489-4a93-b261-5dc4dc99e564,93c054f671b490bbe2c99b4c12337e92,0,49,29207.46,Female,No,8.425458142,0,124.97808,676.712908,1,0,1
60,61,L85018,97f617e1-f6f2-49c3-b317-542d7bb05d1c,97f71f48649e7ee23765f054867265a4,1,26,55319.23,Female,No,8.386280619,0,164.964681,1086.990308,1,0,1
61,62,O942919,176d7713-b919-41c3-badf-676dc1abbf07,5b5794d3dbb6f9fed1f9205863915cbf,1,25,81831.49,Male,No,9.565924291,0,194.976769,704.7540406,0,0,1
62,63,I167253,d73797a9-ae43-4fe0-8f43-c7db6456eee8,4025058646046e514a7c7e4e6202226e,0,42,100076.65,Female,Yes,10.79349982,0,152.455519,1416.444695,1,1,1
63,64,R110564,9b56af1d-ccae-418c-a7e3-f1bc3964d09c,2c8f07dff8efc7ab26276074824df9c7,1,81,69965.65,Male,No,6.081975067,0,92.5018,1095.950634,0,0,1
64,65,M278354,7a1d7d58-f80c-47a6-933b-cf5e77d057a7,ceaf5a70e8500cb64025ddddebab1fab,1,43,34883.69,Female,No,13.55065547,0,127.488728,1083.610268,1,0,1
65,66,W604879,65a865fb-9376-4428-b1ee-0049a7c55176,1d0e697f5bc6a63125b54fd3d61bbd99,2,63,45634.2,Male,No,9.470419821,0,184.963371,1570.641337,0,0,1
66,67,X345797,71895f94-c853-4e94-85ef-3fab52301614,306759d64ba79dfc8b2134c0c716f2bd,3,70,10964.73,Female,Yes,6.194985909,1,265.146969,1007.425553,1,1,1
67,68,N189653,941c7516-20c5-47d4-a063-5f3dc7bfc47a,ee5479f4dca3d8278204dd1897e44553,1,78,22365.28,Male,Yes,10.80393657,0,207.609354,1323.028419,0,1,1
68,69,M562102,df3742f5-e551-4ecc-90fe-eea710b6d9fc,5c597d4d20168d90ddf8f5abf63c999d,0,48,52636.6,Male,No,7.903964267,1,152.462354,1808.730555,0,0,1
69,70,X67911,14e03b7a-04b1-4dae-8c20-41ad7e3f69b1,46bd163d500568caa0e2de057b8ef4e3,1,63,19048.13,Female,Yes,11.27443693,1,200.132293,1120.241472,1,1,1
70,71,O834546,eeeb8da7-926a-44a7-8d86-68f1eecc7055,fffe3f210b76a8d6e7a1ec383b766260,4,60,42784.82,Female,Yes,6.129509309,0,212.655686,2676.789803,1,1,1
71,72,I493092,819fd181-eecf-497c-a453-ada4517d9c06,f858b8ce89fb8cf960dabc54d3561c12,0,87,77996.88,Male,Yes,7.969277912,0,255.119794,1268.086909,0,1,1
72,73,H787644,2456727b-d909-43a0-9f62-d2e57c9ef757,8969d2ad6edcb6f6b3c03903bbf6f842,3,54,47507.3,Female,No,4.368120492,0,134.950905,822.6771666,1,0,1
73,74,N582710,867d0b20-ffdd-478b-b5e8-ad80ca7ff50e,fea9671289fa6d8794f72bf3c1b3e55b,3,35,7724.73,Male,Yes,6.258356398,1,255.137219,1577.915603,0,1,1
74,75,T689606,fd741cf9-5663-472f-94e8-5977c1499a74,b412a5cf1e6e60c5f8b9b3fac56083dd,1,70,1509.52,Male,Yes,12.92303286,0,214.966286,648.7471776,0,1,1
75,76,E330599,99348a66-489f-42a7-894a-178bc1ba030c,2ffb137d5a923efa638cda02537eb25a,2,67,81124.71,Female,Yes,12.43301273,0,270.160419,1648.102673,1,1,1
76,77,C641592,77618d0f-b884-47ba-ad1b-7029b27512f8,9c7d828228996c8d9400cd17a3c355f5,4,46,11795.57,Female,Yes,7.607663559,0,200.165175,768.0874545,1,1,1
77,78,E24772,6f3cb471-a76a-480a-8042-cb64a5a43175,7b779f43153c7a475fdf4f75dad470aa,1,50,74794.84,Male,No,7.442789019,1,149.937833,2426.030626,0,0,1
78,79,A889769,10eabf96-a37f-457f-b30b-b14113ea9ef5,609f92fd8000baf6c8f016013fe60afb,1,24,19038.78,Female,Yes,13.04429298,0,240.114868,2660.503932,1,1,1
79,80,G391761,31eeb895-3c43-4aa5-91de-59b6782b4467,ec244815da702eef604eb33e0b3584d6,0,20,79167.77,Male,No,14.89762162,0,127.495766,1129.549713,0,0,1
80,81,A606860,67203a0f-8d33-4cae-b0af-f090e77b213a,7c3d23d2690d1d49f4dbaa9835f7857e,1,29,37428.26,Female,Yes,13.79387475,1,187.609354,1771.286466,1,1,1
81,82,E186097,92807e76-e79e-41a5-9385-51da617ab9ce,e08b6cab24a10897ce670754e07c134d,0,31,45148.38,Male,No,15.66367593,0,169.992756,943.3391244,0,0,1
82,83,I627613,cdb3af59-9a91-4205-b4d9-5eb4d611a3cc,d510541ecbd09bd7b21695cfc4bfb6bb,5,72,74855.47,Female,No,8.513410306,0,192.456745,1907.226083,1,0,1
83,84,Z188641,5aab7733-9356-4ca2-96ba-aaa6832fa61f,a51e72c0ef13b8b04d21cba57d716988,4,71,45323.86,Male,No,8.265002035,0,120.004928,1885.939118,0,0,1
84,85,A740543,935bafa1-e020-4ba2-95e6-8855e6083762,fb3320b32a2a72117db528c1727e6923,2,32,71596.14,Female,No,8.6026551,0,195.006206,631.7435653,1,0,1
85,86,W681476,7d403a84-003b-402a-8432-24380e4da3b0,ee0b3f53ecd1d8b785bc20e91e6eb43a,0,33,10389.95,Male,No,6.03993035,0,139.95684,562.6095219,0,0,1
86,87,G842176,7f9581be-4e3f-4f0a-9c55-939e16f033a0,d5d5681b0b83852e9d6bf577f2508c07,3,67,19657.14,Male,No,14.6040829,0,114.983787,593.8572264,0,0,1
87,88,Z852663,bf3ea9ec-a4a7-4514-8176-2d8d8f113323,660d53bc7e25d7eff74a09e7161ab394,0,66,27827.03,Female,Yes,7.274007029,1,207.638588,777.3060718,1,1,1
88,89,C73741,1ca2e70f-6207-4514-a8ce-e97244a56251,fd047e80fa6a36f3e6860335c2edb7be,4,21,15609.05,Female,Yes,8.913898759,0,187.609354,1393.202392,1,1,1
89,90,W258972,c4c9f72f-9d25-4e86-b0dc-278ad1794358,c5bfa79a4a6bdc3dca476aa903006d3c,0,61,19815.63,Female,No,11.59313893,2,134.950905,393.6524652,1,0,1
90,91,G491883,0319a159-cefc-4d57-804b-c5a16de84ca6,62c298f5af507e7e8a3eccff4df3b206,0,75,58482.9,Female,Yes,8.294186076,0,192.470522,409.7486664,1,1,1
91,92,C302549,1ab894a8-1876-4de7-9e93-2cae49e6cbc2,fb6dd545f720e3181b24ea29dda8bbd2,0,63,41656.53,Female,Yes,15.19664016,0,222.628057,2138.107161,1,1,1
92,93,K581313,87ec7c0f-2780-4909-9bf3-5369082eab90,b0e35245c3817d14f06e425fe6f1002a,0,68,115510.46,Female,No,5.083995994,0,162.468917,443.984031,1,0,1
93,94,T46150,ca0b9ed3-3abc-49d1-84b2-053535772ee0,67dea4cf9825e91e94d7e66c2dc61343,2,32,15841.19,Male,Yes,6.942719201,1,159.979358,2481.385603,0,1,1
94,95,B260505,e572a5e1-a17d-4813-b077-af6c45596135,7e954b453929b2b60bb0a9afbb4ce0a7,0,76,81127.41,Male,No,9.834012571,0,184.979684,2233.567181,0,0,1
95,96,W877056,728fccac-151c-4743-8c4a-ebf5af17ec9d,2d0a8b770314914a21b0714fefb68925,0,29,24270.88,Female,Yes,11.0596826,0,245.145743,1158.91369,1,1,1
96,97,M478246,fb749668-dbf8-448a-bc59-5bdba08f7e0b,e04663ac6cc68fac084cd2b394ca7cb8,0,83,54466.33,Female,No,8.834079073,1,124.97808,529.40733,1,0,1
97,98,N417817,832e769e-3b90-47cc-8f70-12e77fbd52a2,4886325be93630732220fb84b427c7cd,10,23,64816.84,Male,Yes,5.271228601,1,187.484705,1956.7337,0,1,1
98,99,R180138,7def992e-acd6-4b3e-9d01-68812f5fd2ff,9f2b4718c758e51e0b16b99cc7915687,5,80,103311.26,Male,No,9.394961367,0,162.500692,2056.386979,0,0,1
99,100,N931384,d280a01b-3e7a-4303-b8b1-62ca5f99597c,c532f9d9a04a5bf1d6ef9f36e9d9cac9,0,20,40211.04,Male,No,14.4754365,1,182.467607,1067.373076,0,0,1
100,101,O967373,57582d0e-06d5-453f-934f-cd35554c860c,a02ee02148402528926727212f31c741,0,69,58077.38,Male,Yes,10.68311773,1,222.660939,1806.135733,0,1,1
101,102,G695985,a722aa28-8556-4560-9eca-d33fb02d1c1e,aa4b526deb0603cd4912d02e60207b07,1,32,43466.35,Male,No,13.79409442,0,182.467607,1397.701335,0,0,1
102,103,P33478,de982f12-12d6-489d-b4ee-e68a97898c45,06c7aea85dc9cf01dc968ec59e12ebad,0,53,23289.77,Female,Yes,12.40165307,0,220.161527,808.4305471,1,1,1
103,104,K100436,4f87c1f9-6f12-433a-950e-d543319f5362,dcd3c74524c8fe6d5c46012af869f060,2,25,49158.49,Male,No,10.24782033,0,169.937833,1886.531937,0,0,1
104,105,L475907,50d17517-42e8-41ee-b3e1-51380935f604,2d2232b20151dc60fd8d99261354fecc,0,69,3805.84,Male,Yes,14.86100819,2,204.963371,2294.781131,0,1,1
105,106,A78095,c7588553-d2c4-44aa-bc57-92d9a450da0b,cb0a143f7dba83f1b654aaa89d49a0a7,3,71,52616.27,Male,Yes,6.716953195,1,204.963371,826.3438621,0,1,1
106,107,X742990,b93e919c-6a5c-4cd7-9bfa-32894cdec20d,2dc948687495051dc1f7f0564fef6d92,3,53,30550.42,Female,Yes,8.124258176,0,245.128318,2072.564168,1,1,1
107,108,P347346,4adf59ca-778b-42d1-b4dd-e323767f014d,1eaeddd94474968bc3ff130dd876a1a0,2,56,12154.01,Nonbinary,Yes,14.60903837,2,172.473314,1436.793746,0,1,1
108,109,O235183,31f4132d-f26a-4fe0-af22-3a01989b7258,902a7c4c1556dcbc302fde108a5d10b7,0,42,30649.31,Male,Yes,12.65015936,2,172.456745,1963.332683,0,1,1
109,110,R776311,acef0ce4-51a5-4fef-84ea-bb1dfe479bca,08412d1d1a661e06fde6fdc231c282bd,3,33,31417.33,Male,Yes,12.0281501,0,194.976769,1324.164906,0,1,1
110,111,C25146,8d831d69-21b5-4bec-bbfc-44c636c75c3e,5f2fbe8560cca9ee81e9303f4cf1d4bf,1,47,55861.19,Male,No,15.68043093,0,137.439154,704.9375603,0,0,1
111,112,E722502,711c124e-f93c-48e0-8055-b690fccf4225,692a8cdd50ea67ad39e45357a07e6ca4,1,48,9044.26,Female,Yes,11.30421466,1,192.470522,888.6517305,1,1,1
112,113,D515341,43e421ce-f3c6-46f4-8eaa-1ca2a141269d,a9201e2fd1c1c02ab3b6e94814aab979,0,63,25381.66,Female,Yes,10.26646787,0,159.951231,377.0810282,1,1,1
113,114,U972291,9f6c3100-9e67-4db4-bafd-47c929332d84,282f2bb94490b4f9f7af2e24016deb6f,1,40,65064.31,Male,No,7.56618217,0,112.455141,1606.489936,0,0,1
114,115,N374641,26b6fe37-eb18-4dc1-909a-942ed707ea29,91791a39bcbef8d8aecec32873eb15c9,0,67,12527.51,Male,Yes,10.40677369,0,174.961766,1431.409396,0,1,1
115,116,R736057,9fd23c24-e908-445d-aeb9-fb012159f6d4,66534eb1b19b7df4a2e1419c81aaf6e1,0,56,35499.06,Female,No,7.146124361,0,162.452604,2253.85247,1,0,1
116,117,K401117,05669b20-e56a-439e-b9e4-ff6a3dd483e1,101097eefff05fdb34779dd1ba32d9bc,6,24,26282.4,Female,No,9.807530479,0,137.483594,1353.29384,1,0,1
117,118,O17401,2146b03d-4fae-41b9-a872-b928843fa56a,eabb697b5673a028ef3e8c922a7719a6,2,79,51237.28,Female,No,10.61217014,0,275.133571,1701.457566,1,0,1
118,119,E779833,f8074e7f-30d3-4ac2-bd9b-99979feb45be,fc229ed19c96a87277c2a9c36be70cbb,3,61,64222.21,Male,Yes,5.785085772,1,127.442069,1290.737183,0,1,1
119,120,Q527077,f374febf-f635-4175-ae0d-a66396e78623,037e77bcad87b56cb414f0ec8b8336c9,0,38,11014.98,Male,Yes,9.062879297,0,210.138,1403.270091,0,1,1
120,121,Q765651,15a05750-ad38-4037-9acc-9fe6fe258839,c6adfc4fe898ddfe17779953bfa3cea6,4,28,21172.49,Female,No,16.54443477,0,147.456419,2603.903672,1,0,1
121,122,W400552,3b1978b5-8a39-457e-b3a1-da4a743bdc07,cce2f9c7032458c27b93ac5c579bd9fd,3,44,26130.78,Male,Yes,4.539566699,0,242.657291,1256.287854,0,1,1
122,123,S979985,4d787829-bf5d-4766-9777-d60e7b882659,37c05ff74288b115dd0a8732e7623662,1,65,36478.21,Male,No,7.251198724,0,114.983787,980.9935923,0,0,1
123,124,E351590,df1d3143-c299-4adc-a618-94f9bb34343e,754ce3ac5a85202e6b229c4c56077c30,3,35,54533.63,Female,No,8.943293567,1,187.656013,1347.869205,1,0,1
124,125,J227824,458642c8-9ad4-4288-bc3b-1ab83ce7a3c7,4a4d521d904c25264717a088cb5760c2,2,31,37103.18,Female,No,12.57884215,1,149.991327,1127.267848,1,0,1
125,126,S136858,9c880386-d08d-4dc8-a545-e276cbb4bdd0,68413b3dcfc1bd890dc6695af5b833ef,2,34,74679.84,Male,No,11.64836306,1,124.960655,1269.836202,0,0,1
126,127,N883325,800bbe9f-bc31-4611-8ca9-ce20f1387343,e919dc3e29e6b13675e2ad90fd7ea0d8,2,68,95028.57,Male,Yes,6.076260652,0,220.161527,1038.745378,0,1,1
127,128,U700981,785924d4-3532-4681-9cf7-40fb062d97d8,6133724ba9f8c29f702950ce12478140,0,62,34281.1,Male,No,11.75681641,0,172.48852,1531.155367,0,0,1
128,129,X267853,d1b92066-1007-4adc-b214-13bc3924c72e,f31bc51bfc6afc178d2c6f46151a3933,0,52,36240.81,Male,No,9.173739977,1,120.004928,991.2441024,0,0,1
129,130,S985225,f3878f9d-fe73-4db7-9d66-de25fab169c1,9940ab382adf00ea8c929a3d5aed0b87,5,32,9515.64,Male,Yes,8.353693631,0,220.161527,1244.296865,0,1,1
130,131,X645702,cfc79a87-f608-485d-86c9-cfce7db37a29,5e3d575e862fe7b14141e0de9df0963f,0,47,125814.88,Female,Yes,10.74539526,1,139.965008,1162.332926,1,1,1
131,132,I703479,3685c550-a023-4825-a1c0-576114e51d6d,f4db113e904d0ea8d6db34b4c89b7535,8,66,12995.68,Female,No,11.36323648,1,159.951231,577.1157824,1,0,1
132,133,S370452,e3591f0e-4430-4391-94fa-2790223aa88a,1b0ea8d645fac9c153e5784264f2f8d1,1,70,77531.43,Female,Yes,2.310584634,0,184.949594,1442.974877,1,1,1
133,134,D333249,c7752e9e-50a3-4105-bf0e-ce8db57d6d3f,1bd8190fbf680c11da49e52d6625ab2b,3,41,87354.99,Male,Yes,5.290318715,0,252.637807,1577.208717,0,1,1
134,135,O698848,4fdba08f-de24-41b5-93ed-0f6731a790ab,22a74293a590ec9df7472b7acaf76465,2,59,76567.85,Male,No,5.258274954,0,112.455141,886.9398744,0,0,1
135,136,M248356,d95cffe6-fb9b-4e0e-9ecd-4f3cf186bea8,f053575e51ec4155d8f1d1a177894b27,1,46,30663.52,Male,No,7.157580014,0,179.979358,1065.06443,0,0,1
136,137,E759213,5e52b5fb-c3b0-4415-877d-64134fde413a,d865b4b22c58f54c929e4aee60c942af,3,70,122957.19,Male,No,2.120350511,0,202.443347,951.886985,0,0,1
137,138,G106476,bb2ac7a9-0e6f-4b07-8d72-21e9fcdbc79e,9d2e901626ea3dc81e41a9326069e709,1,89,31600.92,Male,No,4.978546291,0,197.472533,1404.435534,0,0,1
138,139,D873414,0a8c923f-2788-4bf2-935d-ccab258e0306,fefcac94caa9b7268c0d546eac64b070,4,75,74638.78,Female,Yes,6.547676875,1,255.155493,1925.911722,1,1,1
139,140,X906302,b3e0a19a-9f89-437a-b524-8ac33e9722b9,456a9fa3230822dc449d1722c38e923a,0,26,32652.3,Female,Yes,7.410590719,1,174.976769,1805.011298,1,1,1
140,141,Z245249,9af7c57b-b167-4f43-a53b-10ee5416de4b,9394346ee8233ed98db05a084d970f9f,4,25,63650.54,Female,No,11.39765385,1,169.992756,700.7343179,1,0,1
